id;placed_date;status;total_price;customer_id
1;2023-12-19T00:53:55;CANCELLED;3550.89;1
2;2023-12-19T01:37:35;PENDING;2748.21;2
3;2023-12-19T04:20:09;COMPLETED;24363.86;3
4;2023-12-19T08:18:37;CANCELLED;18169.43;4
5;2023-12-19T07:22:38;CANCELLED;23181.51;5
6;2023-12-18T23:14:54;COMPLETED;18754.19;6
7;2023-12-19T10:10:36;COMPLETED;6493;7
8;2023-12-18T23:51:28;PENDING;29547.46;8
9;2023-12-19T04:00:38;CANCELLED;31458.67;9
10;2023-12-18T19:55:15;PENDING;9652.1;10
11;2023-12-19T13:17:41;COMPLETED;25908.96;11
12;2023-12-19T04:25:17;PENDING;24580.55;12
13;2023-12-19T10:11:10;PENDING;2038.39;13
14;2023-12-18T18:56:47;CANCELLED;16995.76;14
15;2023-12-19T02:28:02;COMPLETED;7377.95;15
16;2023-12-18T21:19:06;PENDING;7624.03;16
17;2023-12-18T19:27:43;CANCELLED;25689.15;17
18;2023-12-19T07:42:35;PENDING;24535.45;18
19;2023-12-18T23:19:48;COMPLETED;960.37;19
20;2023-12-19T11:15:22;COMPLETED;30935.26;20
21;2023-12-18T18:53:33;CANCELLED;13473.64;21
22;2023-12-19T11:27:27;PENDING;18589.82;22
23;2023-12-18T16:09:43;CANCELLED;842.6;23
24;2023-12-18T23:22:56;COMPLETED;17600.06;24
25;2023-12-19T10:11:43;COMPLETED;10400.02;25
26;2023-12-19T01:53:50;PENDING;28636.53;26
27;2023-12-19T09:14:05;CANCELLED;21284.69;27
28;2023-12-18T20:08:36;CANCELLED;21863.46;28
29;2023-12-18T17:09:49;CANCELLED;22471.38;29
30;2023-12-19T02:51:58;PENDING;12370.39;30
